X_Minimum,X_Maximum,Y_Minimum,Y_Maximum,Pixels_Areas,X_Perimeter,Y_Perimeter,Sum_of_Luminosity,Minimum_of_Luminosity,Maximum_of_Luminosity,Length_of_Conveyer,TypeOfSteel_A300,TypeOfSteel_A400,Steel_Plate_Thickness,Edges_Index,Empty_Index,Square_Index,Outside_X_Index,Edges_X_Index,Edges_Y_Index,Outside_Global_Index,LogOfAreas,Log_X_Index,Log_Y_Index,Orientation_Index,Luminosity_Index,SigmoidOfAreas
0.1466275659824047,0.21591574019894677,0.2919503852346087,0.29195807421970976,0.1637201328618879,0.2498036135113904,0.2172949002217295,0.16168903247838992,0.2040816326530612,0.44907407407407407,0.8995901639344264,0.0,1.0,0.0,0.3015474276527331,0.6324525745257453,0.9165212034089741,0.08268526989935955,0.33217617704491215,0.5196575419623747,0.0,0.8160192924539347,0.6450903321192889,0.7851543080041302,0.46475059877121744,0.46150137741046826,1.0
0.021700879765395895,0.12463428905792862,0.14652412906904586,0.14652821522431328,0.17687238829958213,0.24194815396700708,0.16629711751662973,0.1747034616748159,0.19387755102040816,0.412037037037037,0.264344262295082,0.0,1.0,0.0,0.05486334405144695,0.5198735320686539,0.3611253722148065,0.15004574565416284,0.5450206118463875,0.38075926551762984,0.0,0.8238861183301727,0.7047347733583355,0.7007916172702588,0.18311985837759043,0.46157024793388424,1.0
0.02404692082111437,0.12229373902867174,0.13136882526068236,0.1313725915235748,0.16618450658952105,0.20031421838177535,0.14079822616407983,0.16366991078773413,0.19897959183673466,0.41666666666666663,0.264344262295082,0.0,1.0,0.0,0.06079180064308682,0.49254742547425473,0.35527261525824005,0.14329826166514179,0.6412453894554133,0.4367466486425594,0.0,0.8175411486502306,0.6975947495582562,0.6907338712761482,0.18015203582213896,0.4599862258953168,1.0
0.7049853372434017,0.7091866588648332,0.022767002343616977,0.02276675692312949,0.0036162005785920926,0.01021209740769835,0.015521064301552106,0.004196572756376471,0.5561224489795918,0.44907407407407407,0.9528688524590163,0.0,1.0,0.07692307692307693,0.5654139871382636,0.3398825654923216,1.0,0.007776761207685268,0.9276415708396615,0.9248620029289174,0.5,0.42979560300625136,0.3047491976488406,0.438295919538032,0.5070811204831824,0.559366391184573,0.2395005675368899
0.025219941348973606,0.12346401404330018,0.10041266128533809,0.10042505499638059,0.37429015321975784,0.6229379418695994,0.4878048780487805,0.4160479984604229,0.14795918367346939,0.47685185185185186,0.35450819672131173,0.0,1.0,0.0,0.061696141479099686,0.5927055103884372,0.9940445630968271,0.13883806038426347,0.14992406161857236,0.3103525965979498,0.0,0.9000725808339771,0.6975947495582562,0.8539523499942636,0.5040612308653547,0.5314738292011019,1.0
0.0,0.004681100058513752,0.051487370392130964,0.05149074661066849,0.008223507982427944,0.008641005498821682,0.06430155210643015,0.0068364676608407594,0.18367346938775508,0.37037037037037035,0.2581967213114753,0.0,1.0,0.11538461538461542,0.0,0.6364046973803071,0.1820515453331964,0.008462946020128086,0.9165762638316337,1.0,1.0,0.5125143405680037,0.2806245717788756,0.6771960686833148,0.9218473393731127,0.3745179063360881,0.9288308740068105
0.1219941348973607,0.13107080163838503,0.010242193631289571,0.01024783284162485,0.025447337404907316,0.06048703849175177,0.09866962305986696,0.02130139697735479,0.39285714285714285,0.3055555555555555,0.3422131147540983,0.0,1.0,0.6923076923076924,0.29983922829581994,0.5114046973803071,0.2092617311838998,0.014638609332113448,0.18984595356910394,0.9624873267995944,1.0,0.6269111001849641,0.3606072626302694,0.7417109640904049,0.9080495678433824,0.37685950413223135,0.9998864926220203
0.6797653958944282,0.6816851960210649,0.023724578951961697,0.023723849874768853,0.0017143469409621772,0.007855459544383346,0.007760532150776054,0.0017646943217118913,0.4438775510204081,0.4537037037037037,0.9487704918032787,1.0,0.0,0.42307692307692313,0.6195739549839229,0.19760614272809393,0.7946401067871445,0.0050320219579139975,0.8191581688001736,1.0,0.0,0.35552902062700475,0.2520644765785583,0.3453669356380741,0.40294699573050097,0.4878099173553719,0.07514188422247448
0.8956011730205279,0.9133996489174956,0.4290476669757591,0.4290510629275924,0.03434051216114861,0.051846032992930086,0.06651884700665188,0.029702454773008088,0.21428571428571427,0.37037037037037035,0.862704918032787,1.0,0.0,0.15384615384615385,0.10118569131832798,0.4932249322493225,0.6234726357942294,0.02470265324794144,0.5213712302017791,0.9815252900754761,1.0,0.6573482241108848,0.4611445674515885,0.6799877624383341,0.6980110382172239,0.3924931129476584,1.0
0.7489736070381232,0.7524868344060854,0.0313793092055402,0.031379304148216686,0.004259080681452909,0.01178318931657502,0.017738359201773836,0.002948729172510483,0.20918367346938774,0.2685185185185185,0.28073770491803307,1.0,0.0,0.6153846153846154,0.10902331189710611,0.3065718157181572,0.7583940856350755,0.009149130832570903,0.7447385550010849,1.0,1.0,0.44620823675399784,0.29313764379214596,0.4705724884316799,0.6295949182547121,0.2982093663911845,0.2824063564131669
